strTaxClas,ID,strITIScode,strElCode,strGName,strSComNam,strGRank,strGRank2,strSRankAZ,strSRankAZ2,strSRankCO,strSRankCO2,strSRankNM,strSRankNM2,strSRankNV,strSRankNV2,strSRankUT,strSRankUT2,strUSESA,strSProtAZ,strSProtCO,strSProtNM,strSProtNV,strSProtUT,strSGCNAZ,strSGCNCO,strSGCNNV,strSGCNNM,strSGCNUT,strPIF09,strPIF10,strPIF16,strPIF18,strPIF33,strPIF34,strPIF35,strSWReGAPmodel
AVES,501,178654,ABPBK04010,"Oreoscoptes montanus","SAGE THRASHER",G5,,S5,,S5,,"S3B,S4N","S3B,S4N",S5B,,S4S5B,,,,,,"P,S",,1,,,1,1,"RC,CS,RS",,,,,,,1
AVES,64,178759,ABPAX01010,"Auriparus flaviceps",VERDIN,G5,,S5,,,,"S4B,S4N",,S3,S3,S2S3,S2S3,,,,,,,,,1,,,,,,,"CS,RS",,"CS,RS",1
AVES,602,178764,ABPAY01010,"Psaltriparus minimus",BUSHTIT,G5,,S5,,S4,,"S5B,S5N",,S4,,S4,,,,,,,,,,,,,,,,,,,,1
AVES,679,178775,ABPAZ01020,"Sitta carolinensis","WHITE-BREASTED NUTHATCH",G5,,S5,,"S5B,S4N",,"S5B,S5N",,S5,,S3S4,S3S4,,,,,,,,,,,,,,,,,,,1
AVES,678,178784,ABPAZ01010,"Sitta canadensis","RED-BREASTED NUTHATCH",G5,,S4,,S5,,"S4B,S4N",,S5,,S4,,,,,,,,,,,,,,,,,,,,1
AVES,680,178788,ABPAZ01030,"Sitta pygmaea","PYGMY NUTHATCH",G5,,S5,,S4,,"S3B,S3N","S3B,S3N",S3,S3,S3S4,S3S4,,,,,,,,1,,,,,,RC,,,RS,,1
AVES,158,178803,ABPBA01010,"Certhia americana","BROWN CREEPER",G5,,S5,,S5,,"S4B,S4N",,S5,,S4,,,,,,,,1,,,,,,,,,,,,1
AVES,74,178841,,"Basileuterus rufifrons","RUFOUS-CAPPED WARBLER",G5,,,,,,S5N,,,,,,,,,,,,1,,,,,,,,,,,,1
AVES,447,178844,ABPBX05010,"Mniotilta varia","BLACK-AND-WHITE WARBLER",G5,,"S1B,S1N","S1B,S1N",SNA,,S4N,,,,SNA,,,,,,,,1,,,,,,,,,,,,1
AVES,814,178855,ABPBX01040,"Vermivora peregrina","TENNESSEE WARBLER",G5,,S1M,S1M,SNA,,S4N,,,,SNA,,,,,,,,,,,,,,,,,,,,1
AVES,812,178856,ABPBX01050,"Vermivora celata","ORANGE-CROWNED WARBLER",G5,,"S3B,S5N","S3B,S5N",S5,,"S4B,S5N",,S4B,,"S4S5B,S3N","S4S5B,S3N",,,,,,,1,,,,,,,,,,,,1
AVES,815,178861,ABPBX01060,"Vermivora ruficapilla","NASHVILLE WARBLER",G5,,S4S5M,,SNA,,S4N,,S3B,S3B,SNA,,,,,,,,1,,,,,,,,,,,,1
AVES,816,178864,ABPBX01070,"Vermivora virginiae","VIRGINIA'S WARBLER",G5,,S5,,S5,,"S3B,S4N","S3B,S4N",S4B,,S4S5B,,,,,,,,1,1,1,,1,CC,,"CC,RC,RS",,CC,"CC,,RS",CC,1
AVES,813,178866,ABPBX01090,"Vermivora luciae","LUCY'S WARBLER",G5,,S5,,,,"S3B,S4N","S3B,S4N",S2S3B,S2S3B,S2S3B,S2S3B,,,,,,,1,,1,1,1,,,,,"CC,RC,CS,RS","CC,RC,CS,RS","CC,RC",1
AVES,544,178874,ABPBX27010,"Peucedramus taeniatus","OLIVE WARBLER",G5,,S4,,,,"S3B,S3N","S3B,S3N",,,,,,,,,,,1,,,,,,,,,,RS,,1
AVES,266,178878,ABPBX03010,"Dendroica petechia","YELLOW WARBLER",G5,,S4,,S5,,"S4B,S4N",,"S3S4B,S4M","S3S4B,S4M",S4S5B,,,,,,,,1,,,1,,,,,RC,,,RC,1
AVES,260,178891,ABPBX03060,"Dendroica coronata","YELLOW-RUMPED WARBLER",G5,,S5,,S5,,"S5B,S5N",,S5B,,"S4S5B,S3N","S4S5B,S3N",,,,,,,1,,,,,,,,,,,,1
AVES,263,178896,ABPBX03070,"Dendroica nigrescens","BLACK-THROATED GRAY WARBLER",G5,,S5,,S5B,,"S3B,S4N","S3B,S4N",S5B,,S4S5B,,,,,,,,1,1,,1,1,,,RC,,,RC,,1
AVES,268,178897,ABPBX03080,"Dendroica townsendi","TOWNSEND'S WARBLER",G5,,"S4M,S1S2N","S4M,S1S2N",SNA,,S4N,,S4N,,SNA,,,,,,,,1,,,,,RC,RS,,,,,,1
AVES,264,178902,ABPBX03090,"Dendroica occidentalis","HERMIT WARBLER",G4G5,,S4M,,SNA,,S4N,,S2B,S2B,,,,,,,,,1,,1,,,CC,,,,,,,1
AVES,262,178909,ABPBX03140,"Dendroica graciae","GRACE'S WARBLER",G5,,S5,,S3B,S3B,"S3B,S4N","S3B,S4N",S2B,S2B,S2S3B,S2S3B,,,,,,,1,1,1,1,,,,"CC,RC",,CC,"CC,,RS",CC,1
AVES,267,178913,ABPBX03230,"Dendroica striata","BLACKPOLL WARBLER",G5,,,,SNA,,S4N,,,,SNA,,,,,,,,,,,,,,,,,,,,1
AVES,261,178918,ABPBX03190,"Dendroica discolor","PRAIRIE WARBLER",G5,,,,SNA,,SNA,,,,,,,,,,,,,,,,,,,,,,,,1
AVES,265,178921,ABPBX03210,"Dendroica palmarum","PALM WARBLER",G5,,S1M,S1M,SNA,,S4N,,,,,,,,,,,,,,,,,,,,,,,,1
AVES,663,178927,ABPBX10010,"Seiurus aurocapillus",OVENBIRD,G5,,S2M,S2M,S2B,S2B,S4N,,,,,,,,,,,,,,,,,,,,,,,,1
AVES,664,178931,ABPBX10020,"Seiurus noveboracensis","NORTHERN WATERTHRUSH",G5,,S2S3M,S2S3M,SNA,,S4N,,,,SNA,,,,,,,,1,,,,,,,,,,,,1
AVES,498,178940,ABPBX11040,"Oporornis tolmiei","MACGILLIVRAY'S WARBLER",G5,,S4,,S4B,,"S5B,S5N",,S4B,,S4S5B,,,,,,,,1,,,,,RC,,,,,,,1
AVES,329,178944,ABPBX12010,"Geothlypis trichas","COMMON YELLOWTHROAT",G5,,S4,,S4B,,"S4B,S4N",,S3B,S3B,S3S4B,S3S4B,,,,,,,1,,,,,,,,,,,,1
AVES,354,178964,ABPBX24010,"Icteria virens","YELLOW-BREASTED CHAT",G5,,S4,,S4B,,"S3B,S4N","S3B,S4N",S3B,S3B,S3S4B,S3S4B,,,,,,,1,,,,,,,,,,,,1
AVES,137,178970,ABPBX17010,"Cardellina rubrifrons","RED-FACED WARBLER",G5,,S4,,,,"S3B,S4N","S3B,S4N",,,,,,,,,,,1,,,1,,,,,,,"CC,CS,RS",CC,1
AVES,827,178973,ABPBX16020,"Wilsonia pusilla","WILSON'S WARBLER",G5,,S5M,,S4B,,"S2B,S5N","S2B,S5N","S2B,S5M","S2B,S5M",S3S4B,S3S4B,,,,,,,1,,,,,,,,,,,,1
AVES,669,178979,ABPBX06010,"Setophaga ruticilla","AMERICAN REDSTART",G5,,S1,S1,S1B,S1B,S4N,,,,SHB,,,WSC,,,,,1,,,,,,,,,,,,1
AVES,460,178986,ABPBX19010,"Myioborus pictus","PAINTED REDSTART",G5,,S4,,,,"S4B,S4N",,,,,,,,,,,,1,,,1,,,,,,,RS,,1
AVES,820,178997,ABPBW01190,"Vireo huttoni","HUTTON'S VIREO",G5,,S5,,,,"S4B,S4N",,,,,,,,,,,,,,,,,,,,,,,,1
AVES,817,179003,ABPBW01110,"Vireo bellii","BELL'S VIREO",G5,,S4,,S1B,S1B,"S2B,S3N","S2B,S3N",S2B,S2B,SHB,,,WSC,,T,,,2,,2,1,1,,,"CC,RC","CC,RC","CC,RC","CC,RC","CC,RC",1
AVES,823,179008,ABPBW01140,"Vireo vicinior","GRAY VIREO",G4,,S4,,S2B,S2B,"S4B,S3N","S4B,S3N",S3B,S3B,S3?B,S3?B,,,,T,,,1,1,1,1,1,CC,,"CC,RC,RS",,"CC,RC","CC,RC,RS",CC,1
AVES,821,179021,ABPBW01240,"Vireo olivaceus","RED-EYED VIREO",G5,,S1M,S1M,S3B,S3B,S4N,,,,SNA,,,,,,,,1,,,,,,,,,,,,1
AVES,819,179023,ABPBW01210,"Vireo gilvus","WARBLING VIREO",G5,,S5,,S5B,,"S4B,S5N",,S4B,,S4B,,,,,,,,1,,,,,,,RS,,,,,1
AVES,278,179032,ABPBXA9010,"Dolichonyx oryzivorus",BOBOLINK,G5,,S1,S1,S3B,S3B,"S1B,S3N","S1B,S3N",S3B,S3B,S2B,S2B,,WSC,,,,WSC,1,1,1,,1,,,,,,,,1
AVES,728,179034,ABPBXB2020,"Sturnella magna","EASTERN MEADOWLARK",G5,,S5,,,,"S4B,S5N",,,,,,,,,,,,1,,,,,,,,,,RC,RC,1
AVES,729,179039,ABPBXB2030,"Sturnella neglecta","WESTERN MEADOWLARK",G5,,S5,,S5,,"S5B,S5N",,S5,,S5,,,,,,,,1,,,,,,,,RS,,,,1
AVES,828,179043,ABPBXB3010,"Xanthocephalus xanthocephalus","YELLOW-HEADED BLACKBIRD",G5,,S5,,S5,,"S4B,S5N",,S4B,,"S4S5B,S3N","S4S5B,S3N",,,,,,,1,,,,,,,,,,,,1
AVES,11,179045,ABPBXB0010,"Agelaius phoeniceus","RED-WINGED BLACKBIRD",G5,,S5,,S5,,"S5B,S5N",,S5,,S5,,,,,,,,1,,,,,,,,,,,,1
AVES,12,179060,ABPBXB0020,"Agelaius tricolor","TRICOLORED BLACKBIRD",G2G3,G2G3,,,,,,,S1B,S1B,,,,,,,,,,,1,,,"CC,RC",,,,"CC,RC",,,1
AVES,360,179064,ABPBXB9070,"Icterus spurius","ORCHARD ORIOLE",G5,,,,S4B,,"S3B,S5N","S3B,S5N",,,,,,,,,,,,,,,,,,,,,,,1
AVES,356,179070,ABPBXB9080,"Icterus cucullatus","HOODED ORIOLE",G5,,S5,,,,"S3B,S4N","S3B,S4N",S4B,,,,,,,,,,1,,,1,,,,,,,RS,,1
AVES,359,179079,,"Icterus pustulatus","STREAK-BACKED ORIOLE",G4G5,,,,,,SNA,,,,,,,,,,,,,,,,,,,,,,,,1
AVES,358,179082,ABPBXB9200,"Icterus parisorum","SCOTT'S ORIOLE",G5,,S5,,S1B,S1B,"S4B,S5N",,S4B,,S2S3B,S2S3B,,,,,,,1,,1,,,,,,,,"CS,RS","CS,RS",1
AVES,357,179083,ABPBXB9190,"Icterus galbula","BALTIMORE ORIOLE",G5,,,,,,SNA,,,,,,,,,,,,,,,,,,,,,,,,1
AVES,309,179094,ABPBXB5020,"Euphagus cyanocephalus","BREWER'S BLACKBIRD",G5,,S5,,"S5B,S4N",,"S4B,S5N",,S5,,S4S5,,,,,,,,1,,,,,RS,,,,,,,1
AVES,611,179104,ABPBXB6070,"Quiscalus quiscula","COMMON GRACKLE",G5,,,,"S5B,S4N",,"S5B,S5N",,,,S3B,S3B,,,,,,,,,,,,,,,,,,,1
AVES,610,179109,ABPBXB6050,"Quiscalus mexicanus","GREAT-TAILED GRACKLE",G5,,S5,,S4,,"S5B,S5N",,S5,,S2S3,S2S3,,,,,,,1,,,,,,,,,,,,1
AVES,449,179112,ABPBXB7030,"Molothrus ater","BROWN-HEADED COWBIRD",G5,,S5,,S5,,"S5B,S5N",,S5B,,"S5B,S3N","S5B,S3N",,,,,,,1,,,,,,,,,,,,1
AVES,448,179116,ABPBXB7020,"Molothrus aeneus","BRONZED COWBIRD",G5,,S5,,,,"S4B,S4N",,,,,,,,,,,,1,,,,,,,,,,,,1
AVES,138,179124,ABPBX60010,"Cardinalis cardinalis","NORTHERN CARDINAL",G5,,S5,,SNA,,"S5B,S5N",,,,,,,,,,,,,,,,,,,,,,,,1
AVES,139,179132,ABPBX60020,"Cardinalis sinuatus",PYRRHULOXIA,G5,,S5,,,,"S5B,S5N",,,,,,,,,,,,,,,,,,,,,,,"CS,RS",1
